Circuit: * D:\Deli_sync_ws\Project\Current_probe\Doge_probe_deli\spice\AD8129.asc

Direct Newton iteration for .op point succeeded.
Heightened Def Con from 1.59396e-08 to 1.59396e-08
Heightened Def Con from 2.72533e-08 +to 2.72533e-08
Heightened Def Con from 2.72533e-08 ++to 2.72533e-08
Heightened Def Con from 2.72533e-08 to 2.72533e-08
Heightened Def Con from 3.11005e-08 to 3.11005e-08
Heightened Def Con from 3.49629e-08 to 3.49629e-08
Heightened Def Con from 3.49629e-08 to 3.49629e-08
Heightened Def Con from 4.07564e-08 to 4.07564e-08
Heightened Def Con from 4.07564e-08 to 4.07564e-08
Heightened Def Con from 5.48759e-08 to 5.48759e-08
Heightened Def Con from 5.48759e-08 to 5.48759e-08
Heightened Def Con from 5.48759e-08 ++++to 5.48759e-08
Heightened Def Con from 9.01463e-08 ++to 9.01463e-08
Heightened Def Con from 1.22682e-07 to 1.22682e-07
Heightened Def Con from 1.55229e-07 to 1.55229e-07
Heightened Def Con from 1.55229e-07 +to 1.55229e-07
Heightened Def Con from 1.55229e-07 to 1.55229e-07
Heightened Def Con from 1.65494e-07 to 1.65494e-07
Heightened Def Con from 1.65494e-07 to 1.65494e-07
Heightened Def Con from 1.65494e-07 ++to 1.65494e-07
Heightened Def Con from 1.80084e-07 +++to 1.80084e-07
Heightened Def Con from 1.84218e-07 to 1.84218e-07
Heightened Def Con from 1.84218e-07 +to 1.84218e-07
Heightened Def Con from 1.84218e-07 to 1.84218e-07
Heightened Def Con from 2.0268e-07 to 2.0268e-07
Heightened Def Con from 2.0519e-07 to 2.0519e-07
Heightened Def Con from 2.34985e-07 to 2.34985e-07
Heightened Def Con from 2.34985e-07 +to 2.34985e-07
Heightened Def Con from 2.34985e-07 to 2.34985e-07
Heightened Def Con from 2.41092e-07 to 2.41092e-07
Heightened Def Con from 2.43083e-07 +++to 2.43083e-07
Heightened Def Con from 2.43083e-07 to 2.43083e-07
Heightened Def Con from 2.53437e-07 to 2.53437e-07
Heightened Def Con from 2.53437e-07 to 2.53437e-07
Heightened Def Con from 2.53437e-07 to 2.53437e-07
Heightened Def Con from 2.55735e-07 to 2.55735e-07
Heightened Def Con from 2.80259e-07 to 2.80259e-07
Heightened Def Con from 2.80259e-07 ++++to 2.80259e-07
Heightened Def Con from 2.94815e-07 to 2.94815e-07
Heightened Def Con from 2.96792e-07 to 2.96792e-07
Heightened Def Con from 3.03023e-07 to 3.03023e-07
Heightened Def Con from 3.03023e-07 ++to 3.03023e-07
Heightened Def Con from 3.03023e-07 ++++to 3.03023e-07
Heightened Def Con from 3.03023e-07 to 3.03023e-07
Heightened Def Con from 3.05016e-07 +to 3.05016e-07
Heightened Def Con from 3.05016e-07 to 3.05016e-07
Heightened Def Con from 3.35262e-07 ++to 3.35262e-07
Heightened Def Con from 3.35262e-07 ++++to 3.35262e-07
Heightened Def Con from 3.37256e-07 to 3.37256e-07
Heightened Def Con from 3.55754e-07 to 3.55754e-07
Heightened Def Con from 3.59892e-07 +++++to 3.59892e-07
Heightened Def Con from 3.59892e-07 +++++to 3.59892e-07
Heightened Def Con from 3.6186e-07 +++to 3.6186e-07
Heightened Def Con from 3.6186e-07 to 3.6186e-07
Heightened Def Con from 3.6186e-07 ++to 3.6186e-07
Heightened Def Con from 3.6186e-07 to 3.6186e-07
Heightened Def Con from 3.78424e-07 to 3.78424e-07
Heightened Def Con from 3.78424e-07 +++++to 3.78424e-07
Heightened Def Con from 3.99076e-07 to 3.99076e-07
Heightened Def Con from 4.11332e-07 to 4.11332e-07
Heightened Def Con from 4.11332e-07 to 4.11332e-07
Heightened Def Con from 4.37494e-07 to 4.37494e-07
Heightened Def Con from 4.37494e-07 ++to 4.37494e-07
Heightened Def Con from 4.37494e-07 ++++to 4.37494e-07
Heightened Def Con from 4.55735e-07 to 4.55735e-07
Heightened Def Con from 4.55735e-07 to 4.55735e-07
